"CDSCode","NCESDist","NCESSchool","StatusType","County","Distrinct","School","Street","StreetAbr","City","Zip","State","MailStreet","MailStrAbr","MailCity","MailZip","MailState","Phone","Ext","Website","OpenDate","ClosedDate","Charter","CharterNum","FundingType","DOC","DOCType","SOC","SOCType","EdOpsCode","EdOpsName","EILCode","EILName","GSoffered","GSserved","Virtual","Magnet","Latitude","Longitude","AdmFName1","AdmLName1","AdmEmail1","AdmFName2","AdmLName2","AdmEmail2","AdmFName3","AdmLName3","AdmEmail3","LastUpdate","district"
"01100176002745","0691051","",Closed,Alameda,,Las Vistas School,"2200 Fairmont Drive","2200 Fairmont Dr.",San Leandro,"94578",CA,"2200 Fairmont Drive","2200 Fairmont Dr.",San Leandro,"94578",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176002752","0691051","",Closed,Alameda,,Senior Camp,"2600 Fairmont Drive","2600 Fairmont Dr.",San Leandro,"94578",CA,"2600 Fairmont Drive","2600 Fairmont Dr.",San Leandro,"94578",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176002760","0691051","",Closed,Alameda,,Snedigar Cottage,"2100 Fairmont Drive","2100 Fairmont Dr.",San Leandro,"94578",CA,"2100 Fairmont Drive","2100 Fairmont Dr.",San Leandro,"94578",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176066526","0691051","",Merged,Alameda,,Koster/Whiteford Special Center,"35725 Cedar Avenue","35725 Cedar Ave.",Newark,"94560",CA,"35725 Cedar Avenue","35725 Cedar Ave.",Newark,"94560",CA,"","","",1980-07-01,1987-06-22,0,"","","00",County Office of Education (COE),"09",Special Education Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176066534","0691051","",Closed,Alameda,,Whiteford School (TMR),"685 A Street","685 A St.",Hayward,"94541",CA,"685 A Street","685 A St.",Hayward,"94541",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176072276","0691051","",Closed,Alameda,,Alameda County Special Education,"685 A Street","685 A St.",Hayward,"94541",CA,"685 A Street","685 A St.",Hayward,"94541",CA,"","","",1980-07-01,1984-07-24,0,"","","00",County Office of Education (COE),"09",Special Education Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176089379","0691051","",Closed,Alameda,,Buena Vista School (Girls),"2200 Fairmont Drive","2200 Fairmont Dr.",San Leandro,"94578",CA,"2200 Fairmont Drive","2200 Fairmont Dr.",San Leandro,"94578",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176095897","0691051","",Merged,Alameda,,Whiteford (June) School,"35725 Cedar Boulevard","35725 Cedar Blvd.",Newark,"94560",CA,"35725 Cedar Boulevard","35725 Cedar Blvd.",Newark,"94560",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176096531","0691051","",Merged,Alameda,,School for School-Age Mothers,"8151 Village Parkway","8151 Village Pkwy.",Dublin,"94568",CA,"8151 Village Parkway","8151 Village Pkwy.",Dublin,"94568",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",HS,High School,"9-12","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176097539","0691051","",Closed,Alameda,,Sequoia Deaf/Blind Program,"685 A Street","685 A St.",Hayward,"94541",CA,"685 A Street","685 A St.",Hayward,"94541",CA,"","","",1980-07-01,1984-07-24,0,"","","00",County Office of Education (COE),"09",Special Education Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176097562","0691051","",Merged,Alameda,,Burke (William P.) Special Center,"612 West A Street","612 West A St.",Hayward,"94541",CA,"612 West A Street","612 West A St.",Hayward,"94541",CA,"","","",1980-07-01,1987-06-22,0,"","","00",County Office of Education (COE),"09",Special Education Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176098586","0691051","",Closed,Alameda,,East County Dch,"7997 Vomac Road","7997 Vomac Rd.",Dublin,"94566",CA,"7997 Vomac Road","7997 Vomac Rd.",Dublin,"94566",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"09",Special Education Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176098628","0691051","",Merged,Alameda,,La Fleche (Rock) Special Center,"6925 Chabot Road","6925 Chabot Rd.",Oakland,"94618",CA,"6925 Chabot Road","6925 Chabot Rd.",Oakland,"94618",CA,"","","",1980-07-01,1987-06-22,0,"","","00",County Office of Education (COE),"09",Special Education Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176098636","0691051","",Merged,Alameda,,Motta (Ronald) Special Center,"40950 Chapel Way","40950 Chapel Way",Fremont,"94538",CA,"40950 Chapel Way","40950 Chapel Way",Fremont,"94538",CA,"","","",1980-07-01,1987-06-22,0,"","","00",County Office of Education (COE),"09",Special Education Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176106751","0691051","08672",Active,Alameda,,Alameda County Special Education,"313 West Winton Avenue","313 West Winton Ave.",Hayward,"94544-1136",CA,"313 West Winton Avenue","313 West Winton Ave.",Hayward,"94544-1136",CA,(510) 723-3857,"",www.acoe.org,1980-07-01,,0,"","","00",County Office of Education (COE),"09",Special Education Schools (Public),SPEC,Special Education School,PS,Preschool,P,"",N,0,37.658212,-122.09713,Robert,Stout,rstout@acoe.org,"","","","","","",2015-10-13,Alameda County Office of Education
"01100176114896","0691051","",Closed,Alameda,,New Village Community Public Charter East Bay,"","","","","","","","","","","","","",1997-09-01,2000-06-30,1,"0107","","00",County Office of Education (COE),"60",Elementary Schools (Public),"","",ELEM,Elementary,K-4,K-5,"",,,,"","","","","","","","","",2000-08-16,Alameda County Office of Education
"01316090000000","0600002","",Active,Alameda,,"","500 Walnut Avenue","500 Walnut Ave.",Fremont,"94536-4365",CA,"500 Walnut Avenue","500 Walnut Ave.",Fremont,"94536-4365",CA,(510) 794-3800,"",www.csb-cde.ca.gov,,,,"","","31",State Special Schools,"","","","","","","","","",,37.562576,-121.96563,Sharon,Sacks,ssacks@csb-cde.ca.gov,"","","","","","",2016-06-23,California School for the Blind (State Special Schl)
"01316090131755","0600002","10346",Active,Alameda,,California School for the Blind,"500 Walnut Avenue","500 Walnut Ave.",Fremont,"94536-4365",CA,"500 Walnut Avenue","500 Walnut Ave.",Fremont,"94536-4365",CA,(510) 794-3800,"","",1980-07-01,,0,"","","31",State Special Schools,"31",State Special Schools,SSS,State Special School,ELEMHIGH,Elementary-High Combination,"1-Adult",K-12,N,1,37.562576,-121.96563,Sharon,Sacks,ssacks@csb-cde.ca.gov,"","","","","","",2015-07-29,California School for the Blind (State Special Schl)
"01316170131763","0600003","10347",Active,Alameda,,California School for the Deaf-Fremont,"39350 Gallaudet Drive","39350 Gallaudet Dr.",Fremont,"94538-2308",CA,"39350 Gallaudet Drive","39350 Gallaudet Dr.",Fremont,"94538-2308",CA,(510) 794-3666,"",www.csdeagles.com,1980-07-01,,0,"","","31",State Special Schools,"31",State Special Schools,SSS,State Special School,ELEMHIGH,Elementary-High Combination,P-12,K-12,N,0,37.558956,-121.96551,Laura,Peterson,lpeterson@csdf-cde.ca.gov,"","","","","","",2016-08-31,California School for the Deaf-Fremont (State Special Schl)
"01340179007139","","",Closed,Alameda,,Franklin Parent Nursery,"1460 Eighth Street","1460 Eighth St.",Berkeley,"94703",CA,"1460 Eighth Street","1460 Eighth St.",Berkeley,"94703",CA,"","","",1980-07-01,2004-07-01,0,"","","34",Non-School Locations,"08",Preschool,"","",PS,Preschool,P,"","",,,,"","","","","","","","","",2004-07-01,"California Community College, Chancellors"
"01404027200009","0601397","",Closed,Alameda,,"David W. Gordon,Govt. Affairs",PO Box 944272,PO Box 944272,Sacramento,"94244",CA,PO Box 944272,PO Box 944272,Sacramento,"94244",CA,"","","",1980-07-01,1989-06-30,0,"","","42",Joint Powers Authority (JPA),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Mission Valley ROC/P
"01611190000000","0601770","",Active,Alameda,,"","2060 Challenger Dr","2060 Challenger Dr",Alameda,"94501-1037",CA,"2060 Challenger Dr","2060 Challenger Dr",Alameda,"94501-1037",CA,(510) 337-7000,"",www.alameda.k12.ca.us,,,,"","","54",Unified School District,"","","","","","","","","",,37.782147,-122.27009,Sean,McPhetridge,smcphetridge@alameda.k12.ca.us,"","","","","","",2015-06-26,Alameda Unified
"01611190100818","0601770","",Closed,Alameda,,College Preparatory & Architecture Academy,"4610 Foothill Boulevard","4610 Foothill Blvd.",Oakland,"94601",CA,"4610 Foothill Boulevard","4610 Foothill Blvd.",Oakland,"94601",CA,"","","",2003-08-28,2003-05-08,0,"","","54",Unified School District,"66",High Schools (Public),"","",HS,High School,"8-12","","",,,,"","","","","","","","","",2005-02-09,Alameda Unified
"01611190106401","0601770","10547",Active,Alameda,,Alameda Science and Technology Institute,"555 Atlantic Avenue","555 Atlantic Ave.",Alameda,"94501-2109",CA,"555 Atlantic Avenue","555 Atlantic Ave.",Alameda,"94501-2109",CA,(510) 748-4021,"","",2004-08-19,,0,"","","54",Unified School District,"63",Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,"9-12","9-12",N,1,37.779884,-122.28052,Tracy,Corbally,tcorbally@alameda.k12.ca.us,"","","","","","",2015-06-18,Alameda Unified
"01611190111765","0601770","11549",Active,Alameda,,Ruby Bridges Elementary,"351 Jack London Avenue","351 Jack London Ave.",Alameda,"94501-3901",CA,"351 Jack London Avenue","351 Jack London Ave.",Alameda,"94501-3901",CA,(510) 748-4006,"",www.alameda.k12.ca.us,2006-08-28,,0,"","","54",Unified School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.781834,-122.28614,Cheryl,Wilson,cwilson@alameda.k12.ca.us,"","","","","","",2015-06-18,Alameda Unified
"01611190119222","0601770","12399",Active,Alameda,,Nea Community Learning Center,"1900 Third Street","1900 Third St.",Alameda,"94501-1851",CA,"1900 Third Street","1900 Third St.",Alameda,"94501-1851",CA,(510) 748-4008,"130",http://neaclc.org,2009-08-31,,1,"1066",Directly funded,"54",Unified School District,"65",K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,37.779051,-122.28703,Patti,Wilczek,patti.wilczek@clcschools.org,Annalisa,Moore,annalisa.moore@neaclc.org,"","","",2015-09-11,Alameda Unified
"01611190122085","0601770","00042",Active,Alameda,,The Academy of Alameda,"401 Pacific Avenue","401 Pacific Ave.",Alameda,"94501-1837",CA,"401 Pacific Avenue","401 Pacific Ave.",Alameda,"94501-1837",CA,(510) 748-4017,"",http://aoaschools.org/,2010-08-30,,1,"1181",Directly funded,"54",Unified School District,"62",Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,"6-8","6-8",N,0,37.776497,-122.28582,Matt,Huxley,mhuxley@aoaschools.org,Woo,Williams,wwilliams@aoaschools.org,"","","",2015-09-30,Alameda Unified
"01611190126656","0601770","13107",Active,Alameda,,Maya Lin,"825 Taylor Street","825 Taylor St.",Alameda,"94501-3411",CA,"825 Taylor Street","825 Taylor St.",Alameda,"94501-3411",CA,(510) 337-7027,"",www.alameda.k12.ca.us/,2012-07-01,,0,"","","54",Unified School District,"63",Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEM,Elementary,K-8,K-5,N,1,37.772724,-122.27189,Judith,Goodwin,jgoodwin@alameda.k12.ca.us,"","","","","","",2015-06-18,Alameda Unified
"01611190128199","0601770","13712",Closed,Alameda,,Encinal Junior Jets,"210 Central Avenue","210 Central Ave.",Alameda,"94501-3246",CA,"210 Central Avenue","210 Central Ave.",Alameda,"94501-3246",CA,"","",www.alameda.k12.ca.us,2013-07-01,2015-06-30,0,"","","54",Unified School District,"62",Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,"6-8","6-8",N,1,37.772622,-122.28886,"","","","","","","","","",2015-06-30,Alameda Unified
"01611190130120","0601770","13205",Active,Alameda,,Alameda Adult,"1300 Third Street","1300 Third St.",Alameda,"94501",CA,"1300 Third Street","1300 Third St.",Alameda,"94501",CA,(510) 522-3858,"","",1980-07-01,,0,"","","54",Unified School District,"70",Adult Education Centers,TRAD,Traditional,A,Adult,Adult,"",N,,37.770867,-122.2885,Joy,Chua,jchua@alameda.k12.ca.us,"","","","","","",2016-01-29,Alameda Unified
"01611190130229","0601770","00041",Active,Alameda,,Alameda High,"2201 Encinal Avenue","2201 Encinal Ave.",Alameda,"94501-4406",CA,"2201 Encinal Avenue","2201 Encinal Ave.",Alameda,"94501-4406",CA,(510) 337-7022,"","",1980-07-01,,0,"","","54",Unified School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",N,0,37.764294,-122.24807,Robert,Ithurburn,rithurburn@alameda.k12.ca.us,"","","","","","",2015-06-18,Alameda Unified
"01611190130476","0601770","",Closed,Alameda,,Alameda City Unified Alternative Educ.,"2437 Eagle Avenue","2437 Eagle Ave.",Alameda,"94501",CA,"2437 Eagle Avenue","2437 Eagle Ave.",Alameda,"94501",CA,"","","",1991-09-10,1994-06-30,0,"","","54",Unified School District,"63",Alternative Schools of Choice,"","",HS,High School,"7-12","","",,,,"","","","","","","","","",1999-06-24,Alameda Unified
"01611190130609","0601770","08673",Active,Alameda,,Alameda Community Learning Center,"1900 Third Street","1900 Third St.",Alameda,"94501-1851",CA,"1900 Third Street","1900 Third St.",Alameda,"94501-1851",CA,(510) 995-4300,"",www.alamedaclc.org,2001-08-30,,1,"0352",Directly funded,"54",Unified School District,"65",K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,"6-12","6-12",N,0,37.779051,-122.28703,Patti,Wilczek,patti.wilczek@clcschools.org,David,Hoopes,david.hoopes@alamedaclc.org,"","","",2016-04-19,Alameda Unified
"01611190130625","0601770","08674",Active,Alameda,,Alternatives in Action,"6221 E 17th Street","6221 E 17th St.",Oakland,"94621",CA,"6221 E 17th Street","6221 E 17th St.",Oakland,"94621",CA,(510) 748-4314,"",www.alternativesinaction.org,2001-09-04,,1,"0398",Directly funded,"54",Unified School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",N,0,37.764353,-122.19551,Patricia,Murillo,pmurillo@alternativesinaction.org,"","","","","","",2015-06-18,Alameda Unified
"01611190131805","0601770","13871",Active,Alameda,,The Academy of Alameda Elementary,"401 Pacific Avenue","401 Pacific Ave.",Alameda,"94501-1837",CA,"401 Pacific Avenue","401 Pacific Ave.",Alameda,"94501-1837",CA,(510) 748-4017,"",www.aoaschools.org,2015-08-27,,1,"1718",Directly funded,"54",Unified School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-1,N,0,37.77693,-122.28528,Nora,Bullock,nbullock@aoaschools.org,"","","","","","",2016-02-11,Alameda Unified
"01611190132142","0601770","",Active,Alameda,,Encinal Junior/Senior High,"210 Central Avenue","210 Central Ave.",Alameda,"94501-3246",CA,"210 Central Avenue","210 Central Ave.",Alameda,"94501-3246",CA,(510) 748-4023,"",http://ehs.alamedausd.ca.schoolloop.com/,2015-08-31,,0,"","","54",Unified School District,"65",K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,"6-12","6-12",N,0,37.772765,-122.289,Kirsten,Zazo,kzazo@alameda.k12.ca.us,"","","","","","",2015-08-18,Alameda Unified
"01611190132878","0601770","00045",Closed,Alameda,,Encinal High,"210 Central Avenue","210 Central Ave.",Alameda,"94501-3278",CA,"210 Central Avenue","210 Central Ave.",Alameda,"94501-3278",CA,"","",http://ehs.alamedausd.ca.schoolloop.com,1980-07-01,2015-06-30,0,"","","54",Unified School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",N,0,37.773616,-122.29027,"","","","","","","","","",2015-06-30,Alameda Unified
"01611190134304","0601770","00048",Active,Alameda,,Island High (Continuation),"1900 Third Street","1900 Third St.",Alameda,"94501-1851",CA,"1900 Third Street","1900 Third St.",Alameda,"94501-1851",CA,(510) 748-4024,"","",1980-07-01,,0,"","","54",Unified School District,"68",Continuation High Schools,CON,Continuation School,HS,High School,"9-12","10-12",N,0,37.779609,-122.28785,Ben,Washofsky,bwashofsky@alameda.k12.ca.us,"","","","","","",2015-06-18,Alameda Unified
